outcome,demoted_pre,demoted_post,retained_pre,retained_post,DiD
ln_population,11.46618104781008,11.422278532592037,11.332662074177655,11.305012439952561,-0.016252880992949414
firms_per_1k,,117.3892448858818,,90.32436236564332,
unemployment,,10.144991789819377,,12.68837984173261,
ln_wages_avg,,8.156140097156337,,8.107891997677225,
nat_change_rate,1.758830917006916,-0.7165527351696922,1.6662639158725936,-0.6580220576654173,-0.15109767863859735
birth_rate,10.18659209194954,9.01714890101992,11.660648471393896,9.78419002441013,0.707015256054147
death_rate,8.427761174942624,9.733701636189613,9.994384555521304,10.442212082075548,0.8581129346927447
